ID	Autore	Anno	Titolo	Completamento del titolo	Città, editore o rivista	Pagine	Tipologia	Istituto	Fondo	Segnatura
B_110	Planiscig L.	2006	La collezione Luigi Grassi di piccoli bronzi del Rinascimento		Firenze, Centro Di		monografia			
B_111	Pollak, L., Merkel Guldan, M.	1994	Römische Memoiren. Künstler, Kunstliebhaber und Gelehrte, 1893-1943		Roma, L'Erma di Bretschneider		monografia			
B_112	Porretti, L.	2004	Notizie su Luigi Grassi pittore, restauratore e antiquario (1858-1937)		in «Notizie da Palazzo Albani», Urbino QuattroVenti, XXXIII	pp. 175-184	articolo di monografia			
B_113	Provo, A.	2017	Surrogates and intermediaries: the informational role of photographs in the art market		in Catterson	pp. 269-190	articolo di monografia			
B_113_1	Pucci, A., Bencivenni, M., de Vico, M. (Ed.)	2017	I giardini di Firenze, IV, Giardini e orti privati della città		Firenze, Leo S. Olschki		monografia			
B_114	Rafa, A.	1923	A. Bino Cesana		in «L'Antiquario», X, 11-12	pp. 140-141	articolo di periodico			
B_115	Rasario, G.	2004	De Chirico pendant Bellini		in «Metafisica», 3-4	pp. 271-298	articolo di periodico			
B_116	Riccetti, L. (Ed.)	2010	1909 tra collezionismo e tutela: connoisseur antiquari e la ceramica medievale orvietana	catalogo delle mostra (Perugia, Galleria Nazionale dell'Umbria, Palazzo Baldeschi al Corso, 2009-2010; Orvieto, Museo Archeologico Nazionale, 2010)	Milano, Giunti		monografia			
B_117	Riccio, B. (Ed.)	1996	Lettere sull’antiquariato di Mario Praz e Luigi Magnani 1952-1981		Torino, U. Allemandi	p. 116	monografia			
B_117_1	Riccomini, M.	2021	Adriano Cera		in «Gazzetta Antiquaria», 7 gennaio 2021		articolo di periodico			
B_118	Rizzo, R.	2016	Pietro Accorsi il mercante di meraviglie: da rigattiere bambino a fondatore di un grande museo d'antiquariato		Cinisello Balsamo, Silvana		monografia			
B_119	Romanengo, M.	2001	Il mondo del collezionismo privato a Genova nel Novecento		in Orlando	pp. 110-120	articolo di monografia			
B_119_2	Romiti, A.	1952	L'antiquario		in «Strenna dei Romanisti», 13.1952	pp. 22-25	articolo di monografia			
B_119_3	Rowlands, E.W.	2023	Here, There, and Everywhere: Harold Parsons, the Italian Market and a Letter of 1948		in Budd, Catterson	pp. 329-407	articolo di monografia			
B_120	Sambo, E.	2014	«Braun & C.ie» nelle commissioni Lazzaroni	"in Bacchi, A., Mambelli, F., Rossini, M., Sambo, E. (a cura di), ""I colori del bianco e nero: fotografie storiche nella Fototeca Zeri 1870-1920"""	Bologna, Fondazione Federico Zeri	pp. 133-138	articolo di monografia			
B_121	Sambo, E.	2015	Un falso Rinascimento? 1. Michele Lazzaroni (1863-1934), tra contraffazione e restauro		in «Studiolo», 11, 2014	pp. 94-107, 301-302	articolo di periodico			
B_121_1	Sambon G.	1887	Catalogo delle monete italiane medioevali e moderne, monete estere, monete romane consolari ed imperiali, monete greche e medaglie componenti la collezione del sig. Achille Cantoni di Milano, Milano 25 aprile 1887		Milano 1887		catalogo d'asta			
B_122	Sanvitale, F.	2002	La romanza italiana da salotto		Torino, EDT.		monografia			
B_122_1	Santamaria P. & P.	1920	Catalogo delle monete di zecche italiane componenti la raccolta di un distinto raccoglitore defunto, in vendita all’asta pubblica, Roma 26 aprile 1920		Roma 1920		catalogo d'asta			
B_122_2	Santamaria P. & P.	1920	Médailles romaines, aes grave, composant la collection d’un amateur décédé, Roma 29 novembre 1920		Roma 1920		catalogo d'asta			
B_123	Scarpa, P.	1929	Un pittore lirico: Giuseppe Grassi		in «L'Antiquario», XVI, 2	pp. 69-71	articolo di periodico			
B_123_1	Sciltian, G.	1963	Mia aventura		Milano, Rizzoli		monografia			
B_124	Silvestrini, C.	2008	Mariano Rocchi antiquario: il commercio d'arte sull'asse Perugia-Roma tra Otto e Novecento		Perugia, EFFE.		monografia			
B_125	Smalcerz, J. (Ed.)	2023	Wilhelm Bode and the art market: connoisseurship, networking and control of the marketplace		Leiden-Boston, Brill.		monografia			
B_126	Teodori, B., Celani, J.	2017	Dall'asta al museo. 1916-1956-2016: Elia Volpi e Palazzo Davanzati nel collezionismo pubblico e privato del Novecento		Firenze, Polistampa		monografia			
B_127	Terris, J. J.	1952	Catalogue des meubles et objets d'art anciens et modernes, très important tableaux ... très nombreuses sculptures ... provenant des collections des Barons Lazzaroni et garnissant la Villa Madeleine ... Nice : vente ... sur lieu ... lundi 16 ... samedi 21 juin 1952		[S.l. s.n.]		catalogo d'asta			
B_128	Toffali, E.	2016-2017	Dalle sfide attributive alle perizie commerciali. Giuseppe Fiocco tra accademia, critica, tutela e mercato dell'arte		tesi di Dottorato, Università Ca' Foscari Venezia		monografia			
B_129	Tolosani, D.	1926	Vendita Banti		in «L'Antiquario», XIII, 1	pp. 1-9	articolo di periodico			
B_130	Tolosani, D.	1912	Vincenzo Ciampolini		in «Il Conoscitore», V, 8-9	pp. 43-45	articolo di periodico			
B_131	Tolosani, D.	1911	I colleghi d'Italia: Napoletani		in «L'Antiquario», IV, 6	pp. 45-51	articolo di periodico			
B_132	Tolosani, D.	1924	Luigi Grassi		in «L'Antiquario», XI, 3	pp. 81-86	articolo di periodico			
B_133	Tolosani, D.	1911	Vendita Emilio Laschi		in «L'Antiquario», IV, 1	pp. 9-10	articolo di periodico			
B_134	Tolosani, D.	1911	Settimio Laschi		in «L'Antiquario», IV, 5	pp. 39-41	articolo di periodico			
B_135	Tolosani, D.	1909	Strascichi elettorali		in «L'Antiquario», 12	pp. 94-95	articolo di periodico			
B_136	Tolosani, D.	1923	Personali ricordi		in «L'Antiquario», X, 1-2	pp. 2-7	articolo di periodico			
B_137	Tolosani, D.	1929	Giuseppe Salvadori		in «L'Antiquario», XVI	pp. 3-9	articolo di periodico			
B_138	Tolosani, D.	1908	I grandi antiquari italiani: Stefano Bardini		in «L'Antiquario», 1	pp. 2-3	articolo di periodico			
B_139	Tolosani, D.	1910	Il Palazzo Davanzati		in «L'Antiquario», II, 9-10	pp. 66-72	articolo di periodico			
