ID	Autore	Anno	Titolo	Completamento del titolo	Città, editore o rivista	Pagine	Tipologia	Istituto	Fondo	Segnatura
B_301	Hall, N.H.J.	1992	Colnaghi in America. A Survey to commemorate the first decade of Colnaghi New York		New York, Nicholas H. J. Hall		monografia			
B_302	Yeide, N.H., Akinsha, K., Walsh, A.L.	2001	The AAM Guide to Provenance Research		Washington D.C., American Association of Museums		monografia			
B_303	Farr, D.	2004	Colnaghi Family	"in ""Oxford Dictionary of National Biography"""	Londra	https://www.oxforddnb.com/display/10.1093/ref:odnb/9780198614128.001.0001/odnb-9780198614128-e-65614?&mediaType=Article	voce di dizionario online			
B_304	Howard, J.	2010	Colnaghi, established 1760. The History		Londra, Colnaghi					
B_305	Fletcher, P., Helmreich A.	2011	Selected galleries, dealers and exhibition spaces in London, 1850-1939	"in ""The Rise of the Modern Art Market in London 1850-1939"""	Manchester, Manchester University Press	pp. 298-299	saggio in volume			
B_306	Howard, J.	2020	"Rome, London and Boston: Colnaghi, Bernard Berenson and the sale of Botticelli's ""Madonna of the Eucharist"" to Isabella Stewart Gardner"		in Catterson 2020	pp. 79-118				
B_307	Howard, J.	2021	Colnaghi and the Italian Renaissance: 250 years of dealing and collecting	"in ""Renaissance - six Italian masterpieces rediscovered"""	Venezia, Marsilio Arte	pp. 48-67	saggio in volume			
B_308	Reist, I.	2017	British Models of Art Collecting and the American Response		Londra, Routledge		monografia			
B_309	Coll, J.	2024	Tintoretto’s portraits of Giovanni Grimani		Venezia, Marsilio Arte		monografia			
B_310	Guggenheim, M.	1881	Tre lettere sui restauri di San Marco		Venezia, Kirchmayr & Scozzi		monografia			
B_311	Pollak, L.	1899	Catalogue des objets antiques recueillis par M. le Chev. Louis Saulini		Roma, tipo-litografia Miliani e Filosini		catalogo d'asta			
B_312	Serra, L.	1914	Catalogo delle R. R. Gallerie di Venezia		Venezia, Officine grafiche C. Ferrari		monografia			
B_313	Salvadori, A. e Geri	1919	Catalogo delle collezioni del fu comm. Antonio Dal Zotto e già Giuseppe Piccoli		Milano, G. Modiano		monografia			
B_314	Gardner, E.E.	2019	A Bibliographical Repertory of Italian Private Collections	vol. 5: V. Sabadini-Zweyer	Verona, Scripta Edizioni		monografia			
B_315	Fumagalli, C., Beltrami, L.	1891	La Cappella detta della Regina Teodolinda nella Basilica di San Giovanni in Monza e le sue pitture murali		Milano, Tipografia Pagnoni	p. 14	monografia			
B_316	Malaguzzi Valeri, F.	1908	Catalogo della Regia Pinacoteca di Brera	con cenno storico di Corrado Ricci	Bergamo, Istituto italiano d’arti grafiche	p. 14, cat. 22	monografia			
B_317	Guggenheim, M.		Sulla lavatura dei marmi di San Marco		Venezia, Tempo					
B_318	Giannini, C.	1998	Affreschi di Giovan Battista Tiepolo: dalle ville venete alle residenze europee. Proprietari, restauratori, clienti	"in Puppi L. (a cura di), ""Giambattista Tiepolo nel terzo centenario della nascita (atti del convegno Venezia 1996)"""	Venezia, Il Poligrafo	pp. 313-319	saggio in volume			
B_319	Guggenheim, M.		Risposta alla Camera di commercio sull'industria dei mobili artistici		Venezia, Reale tipografia di Gio. Cecchini		monografia			
B_320	Giannini, C.	2002	L’attimo fuggente: storie di collezionisti e mercanti		Bergamo, Lubrina		monografia			
B_321	Mallé, L.	1972	Museo Civico di Torino. Mobili e arredi lignei. Arazzi e bozzetti per arazzi		Torino		monografia			
B_322	Castronovo, S.	2023	Dossier: Omaggio a Silvana Pettenati. Lo studio dei vetri a oro		in «Studi e notizie. Palazzo Madama», anno 8, numero 7 (2023)	pp. 59-159	articolo di periodico			
B_323			D'Atri		https://agorha.inha.fr/ark:/54721/a987446c-3b53-4350-9de0-ea62f46796ab		voce di repertorio online			
B_324	Rinaldi, S.	2021	Il restauratore Giuseppe Steffanoni al servizio dei Fratelli Mora (1884-1901)		in «Rivista dell’Osservatorio per le arti decorative in Italia», 24	pp. 79-88	articolo di periodico			
B_325	Rinaldi, S.	2022	I restauri di Franco Steffanoni sui dipinti della Pinacoteca comunale di Vicenza (1908-1928)		in «Predella», 51	pp. 47-73, tavv. XIII-XVIII	articolo di periodico			
B_326	Rinaldi, S.	2025	L'archivio digitale dei restauratori Steffanoni di Bergamo (1883-1947)		in «Rivista dell'Istituto nazionale di archeologia e storia dell'arte», XLVIII, 80	pp. 353-372	articolo di periodico			
B_327	Scianna, E.	2025	Le plus radieux mélange de vénitien et de français: la vendita degli affreschi di Giambattista Tiepolo del Musée Jacquemart-André, nel 1893		in «Ricerche di S/confine, Oggetti e pratiche artistico/culturali», 9	pp. 84-94	articolo di periodico			
B_328		2024	Mio padre Giorgio Caretto e il suo occhio infallibile per i capolavori dell’arte fiamminga		in «Corriere della Sera», 22 giugno 2024		articolo di quotidiano			
B_329		20/05/2026	Intervista a Luigi Caretto		Torino		intervista			
B_330		2026-09-03 00:00:00	Intervista a Marzio Cortinovis		Bologna		intervista			
B_331	Sotheby's		La collezione di Maria Antonia Gianetti antiquario milanese in via Gesù 7, Milano. Catalogo d’asta Sotheby’s, 05/03/2003		Milano		catalogo d'asta			
B_332	Bacchi A.		Dalla Bibbia di Corradino a Jacopo della Quercia: Sculture e miniature italiane del medioevo e del Rinascimento		Milano, Galleria Nella Longari		monografia			
B_333		13/04/2026	Intervista a Marco e Ruggero Longari		Milano		intervista			
B_334		17/03/2026	Intervista a Michele Subert		Milano		intervista			
B_335	Bardelli, A.	2017	Due cassettoni “Maggioli” e una storia di antiquariato tra Milano e Varese		https://www.antiquanuovaserie.it/due-cassettoni-maggiolini-e-una-storia-di-antiquariato-tra-milano-e-varese/		articolo online			
B_336	Di Castro F.	2019	I Romanisti e l’antiquariato	"in ""Il gruppo dei romanisti ieri, oggi e domani: una tradizione che si rinnova"", atti del convegno, Roma, 2019"			atti di convegno			
B_337	Di Castro F.	s.d.	Biografia di Eugenio Di Castro (Roma 1890 – 1976)				documentazione			
B_338	Botana F.	2022	Tammaro De Marinis, Vittorio Forti, and the Acquisition of Islamic Manuscripts for J. P. Morgan in Constantinople in 1913		«Manuscript Studies», Issue 7.2, 2022	pp. 237-269	articolo di periodico			
B_339	Manzari F.	2024	Illuminations from Northern and Central Italy in the collection of the dealer Vittorio Forti	"in L. Cleaver, D. Magnusson, H. Morcos, A. Rais (a cura di), ""The pre-modern manuscript trade and its consequences, ca. 1890-1945"""	Leeds	pp. 117-144	saggio in volume			
B_340	Pozzoli V.	2016	V. Pozzoli, Lo studio d'arte Palma: storia di un'impresa per il commercio artistico nell'Italia del Dopoguerra		«ACME annali della Facoltà di Studi Umanistici dell'Università degli Studi di Milano», vol. 69 (2016), 2	pp. 145-174	articolo di periodico			
B_341	Maison de Ventes Lino Pesaro	1913	Exposition et vente de tableaux de Giovanni Segantini a Saint-Moritz	18-23 agosto 1913	Milano, Bertieri e Vanzetti		catalogo d'asta			
B_342	Lino Pesaro	1914	La Galerie Pisani de Florence: première partie		Milano, Bertieri e Vanzetti		monografia			
B_343	Galleria Pesaro	1924	Omaggio futurista a Umberto Boccioni : aeropitture, polimaterici, quadri religiosi, architetture, scenografie, arte decorativa		Milano, Galleria Pesaro		monografia			
B_344	Zanotto, F.	1847	Descrizione della città	"in: ""Venezia e le sue lagune"", vol. II, part. II"	Venezia, Stab. Antonelli	p. 482	saggio in volume			
B_345	Zanotto, F.	1856	Nuovissima guida di Venezia e delle isole della sua laguna: nella quale si sono corretti da oltre 200 errori che s'incontrano nelle altre guide		Venezia, Tip. G. Brizeghel	pp. 361, 609	monografia			
B_346		1877	Guida fedele del forestiero per la città di Venezia: nuovamente compilata sui luoghi e colla scorta delle opere più riputate, che trattano intorno alle arti veneziane. Nuovissima edizione		Venezia, Tip. G. Brizeghel	p. 99	monografia			
B_347		1880	A week in Venice. A complete guide-book to the city and its environs		Venezia, C. Coen and Son	p. 66	monografia			
B_348		1882	Gabinetto d'arte antica e moderna di C. Ricchetti a Ca Garzoni		in: “Gazzetta di Venezia” (1 Febbraio 1882)	p. 1	articolo di periodico			
B_349		1889	Guida Commerciale della città e provincia di Venezia per l'anno 1889 di Vittorio Mangiarotti. Anno XXII		Venezia, Tip. Longhi e Montanari	p. 80	monografia			
B_350		1898	Guida Commerciale Mangiarotti della città e provincia di Venezia e città del Veneto compilata a cura di Domenico De Marco proprietario. Anno XXXII. 1899		Venezia, Tip. C. Ferrari	p. 48	monografia			
B_351	Litchfield, F.	1904	How to collect old furniture		London, G. Bell and Sons	p. 53	monografia			
B_352	Favaretto, I.	1984	«Una tribuna ricca di marmi...»: appunti per una storia delle collezioni dei Grimani di Santa Maria Formosa		in: “Aquileia Nostra. Rivista dell'Associazione Nazionale per Aquileia”, Anno LV	coll. 205-240, qui 222	articolo di periodico			
B_353	Favaretto, I.	1989	Collezioni di antichità e cultura antiquaria a Venezia e nel Veneto al tempo della dominazione austriaca	in: Il Veneto e l'Austria. Vita e cultura artistica nelle città venete 1814-1866, catalogo della mostra, a cura di S. Marinelli, G. Mazzariol, F. Mazzocca	Milano, Electa	pp. 319-324, qui 321	saggio in volume			
B_354	Favaretto, I.	1990	Arte antica e cultura antiquaria nelle collezioni venete al tempo della Serenissima		Roma, L'Erma di Bretschneider	pp. 92, 271	monografia			
B_355	Zorzi, A.	1985	Venezia austriaca. 1798-1866		Roma-Bari, Laterza	p. 260-261	monografia			
B_356	Zorzi, M.	1988	Consiglio Richetti	"in ""Collezioni di antichità a Venezia nei secoli della Repubblica (dai libri e documenti della Biblioteca Marciana)"", catalogo della mostra, a cura di M. Zorzi"	Roma, Istituto Poligrafico e Zecca dello Stato	p. 160	saggio in volume			
B_357	Pagliarulo G., Spinelli R.	2009	Tra Controriforma e Novecento - Saggi per Giovanni Pratesi		Firenze, Nova Arti Grafiche		monografia			
B_358	Pratesi G., Schlegel U., Blasio S., Bellesi S.	1993	Repertorio della Scultura Fiorentina del Seicento e Settecento		Firenze, Allemandi & C.		monografia			
B_359	Gonzales Palacios A.	2022	Giovanni Pratesi	"in ""Forse è tutta questione di Luce - Ritratti e incontri"""	Salani editore	p. 490	saggio in volume			
B_360	Violo L.		Giovanni Pratesi. La cultura dell'antiquario		Gazzetta Antiquaria		intervista			
B_361	Lombardi L.	2023	Gli studi e le opere di Giovanni Pratesi		Il Giornale dell'Arte		intervista			
B_362	Ricchetti, A.	1890	Lo Stabilimento Guggenheim		«Il Tempo», 24 Febbraio 1890	p. 1	articolo di quotidiano			
B_363		1893	Venezia. Album		Padova, tipografia Cooperativa		monografia			
B_364	Guggenheim, M.	1897	Le cornici italiane dalla metà del secolo XV allo scorcio del XVI. Con breve testo riassuntivo intorno alla storia ed alla importanza delle cornici: 100 tavole, 120 cornici		Milano, Ulrico Hoepli		monografia			
B_365	Guggenheim, M.	1899	Il palazzo Papadopoli in Venezia: architettura interna, decorazione murale, ammobigliamento		Venezia, Giuseppe Battaglia edit. (tip. Emiliana)		monografia			
B_366		1913	Vendita della Collezione Comm. M. Guggenheim		«Gazzetta di Venezia», Ottobre 1913	p. 8	articolo di quotidiano			
B_367	Moronato, S.	1988	La collezione di tessuti Michelangelo Guggenheim		in «Bollettino dei Civici Musei Veneziani d'Arte e di Storia», 30 (1988)	pp. 205-212	articolo di periodico			
B_368	de Divitiis, B., Folin, M. (Ed.)	2025	La città degli storici dell'arte	The city of art historians	in «Insights», 6 (2025)	pp. 375-396	articolo di periodico			
B_369	Raggio, O., Wilmering, A.M.	1999	The Gubbio studiolo and its conservation		New York, The Metropolitan Museum of Art		monografia			
B_370	Carletti, L., Giometti, C.	2022	Un prestito controverso alla Mostra di Veronese del 1939. Le «difficoltà di indole psicologica» di Mortimer Leventritt	"in Dragoni, P. e Paparello, C. (a cura di), ""L’arte indifesa. Il destino di artisti e collezioni dopo l’emanazione delle leggi razziali"""	Firenze, Edifir	pp. 29-43	saggio in volume			
B_371	Galleria Pesaro	1927	Mostra di trentaquattro pittori futuristi		Milano, Bestetti & Tumminelli		monografia			
B_372	Galleria Pesaro	1927	Mostra individuale dello scultore Vincenzo Gemito e dei pittori Vincenzo Caprile, Vincenzo Migliaro		Milano, Bestetti & Tumminelli		monografia			
B_373	Galleria Pesaro	1928	La raccolta Melzi		Milano, Bestetti & Tumminelli		monografia			
B_374	Galleria Pesaro	1930	La raccolta del Duca di San Donato di Napoli		Milano, Casa editrice d'arte Bestetti & Tumminelli		monografia			
B_375	Galleria Pesaro	1931	La raccolta Lino Pesaro		Milano, Bestetti & Tumminelli		monografia			
B_376	Galleria Pesaro	1938	Esposizione dei XXXV anni: raduno degli artisti italiani viventi che organizzarono la loro mostra personale alla Galleria Pesaro		Milano, Stamperia e Tipografia Industriale S.E.T.I.		monografia			
B_377	Pollak, L.	1903	Klassisch-Antike Goldschmiedearbeiten im Besitze Sr. Excellenz A. J. von Nelidow		Lipsia, Karl W. Hiersemann		monografia			
B_378	Pollak, L.	1905	Der rechte Arm des Laokoon		in «Mitteilungen des Deutschen Archäologischen Instituts», Römische Abteilung, 20 (1905)	pp. 277–282	articolo di periodico			
B_379	Pollak, L.	1909	Die Athena der Marsyasgruppe Myrons		in «Jahreshefte des Österreichischen Archäologischen Institutes in Wien», 12, 1 (1909)	pp. 154–165, tavv. II–V	articolo di periodico			
B_380	Pollak, L., Barracco, G.	1910	Catalogo del Museo di Scultura Antica. Fondazione Barracco		Roma, Forzani & C.		monografia			
B_381	Pollak, L., Muñoz, A.	1912	Pièces des choix de la collection du Comte Grégoire Stroganoff à Rome par Ludwig Pollak et Antonio Muñoz	2 voll.	Roma, Unione editrice		monografia			
B_382	Pollak, L.	1922	Raccolta Alfredo Barsanti. Bronzi italiani (Trecento-Settecento)	con prefazione di Guglielmo Bode	Roma, Istituto italiano d’arti grafiche		monografia			
B_383	Pollak, L., Casa di vendite G. Tavazzi	1932	Collezioni Simonetti: quadri, mobili e oggetti d’arte		Roma, Casa di vendite G. Tavazzi		catalogo d'asta			
B_384	Marini, E.	1905	Venezia antica e moderna		Venezia, Tip. F. Visentini (1905)	p. 169	monografia			
B_385	Stella, A.	1912	Cronistoria della Esposizione Internazionale d'Arte della città di Venezia, 1895-1912		Venezia, G. Fabbris (1912)	pp. 21-22	monografia			
B_386	Di Martino, E.	2003	Storia della Biennale di Venezia, 1895-2003. Arti visive, architettura, cinema, danza, musica, teatro		Moncalieri, Papiro Arte	pp. 13-15	monografia			
B_387	Tüskés, A.	2023	Venice Art Company & Co.	in: Bloomsbury Art Markets. Protagonists, Networks, Provenances, curated by J. Nathan	London, Bloomsbury Publishing (2023)	https://www.bloomsburyvisualarts.com/article?docid=b-9781350924406&tocid=b-9781350924406-12507862&st=the+venice+art+company	voce di dizionario online			
B_388	Castellani, F.	2024	Sulla Biennale. Storie da un cantiere di studio		Milano, Postmedia Books		monografia			
B_389	Castellani, F.	2025	"La Biennale e Venezia. Spunti per una ""topografia storico-artistica"""	in: La città degli storici dell'arte/The City of Art Historians, a cura di B. de Divitiis e M. Folin	Torino, AISU International e Dipartimento Interateneo di Scienze, Progetto e Politiche del Territorio del Politecnico di Torino (2025)	pp. 375-394	saggio in volume			
B_400					Venezia		fonte archivistica	Archivio privato di Francesca Barozzi		
B_401					Venezia		fonte archivistica	Fondazione Musei Civici-Museo Correr	Museo Fortuny, Archivio fotografico	
B_402					Venezia		fonte archivistica	Fondazione Musei Civici-Museo Correr	Archivio Fotografico	
B_403					Venezia		fonte archivistica	Fondazione Giorgio Cini, Istituto di Storia dell’arte	Fototeca	
B_404					Venezia		fonte archivistica	Direzione regionale Musei nazionali Veneto	Archivio Storico	
B_405					Venezia		fonte archivistica	Archivio storico Municipale	Registro dell’anagrafe	
B_406					Venezia		fonte archivistica	Camera di Commercio di Venezia e Rovigo	Archivio storico	
B_407					Firenze		fonte archivistica	Museo e Gallerie Mozzo Bardini	Archivio Bardini	Corrispondenza (Dino Barozzi)
B_408					Roma		fonte archivistica	Archivio Centrale dello Stato	Fondo Ministero della Pubblica Istruzione, Direzione Generale Antichità e Belle Arti	
B_409					Berlino		fonte archivistica	Musei Statali di Berlino	Archivio Centrale	IV/NL Bode 636; KMA, I/SKS 43, I/SKS 47
B_410					Parigi		fonte archivistica	Parigi, Musée Jacquemart-André	Archivio	
B_411					Venezia		fonte archivistica	Direzione regionale Musei nazionali Veneto	Archivio Storico	Gallerie dell'Accademia, b. 1/1 ‹‹Offerte e acquisti dal 1821 al 1900››, fasc. 24; b 1/3 ‹‹Offerte e acquisti dal 1908 al 1911››, fasc. 35; b. 1/5 ‹‹Offerte e acquisti dal 1923 al 1932››, fasc. 3
B_412					Venezia		fonte archivistica	Camera di Commercio di Venezia e Rovigo	Archivio Storico	Registro ditte, b. 4258
B_413					Firenze		fonte archivistica	Museo e Gallerie Mozzo Bardini	Archivio Bardini	Corrispondenza (Michelangelo Guggenheim)
B_414					Berlino		fonte archivistica	Musei Statali di Berlino	Archivio Centrale	Nachlass Bode 1195
B_415					Roma		fonte archivistica	Archivio Centrale dello Stato	Fondo Ministero delle Finanze, Direzione Generale Coordinamento tributario	Affari generali e personale (1938–1945), servizio Beni ebraici, Affari generali, Gestione dei beni eccedenti e RSI decreti di confisca, b. 86
B_416					Venezia		fonte archivistica	Direzione regionale Musei nazionali Veneto	Archivio Storico	Gallerie dell'Accademia, b. 1/3 3 ‹‹Offerte e acquisti dal 1908 al 1911››, fasc. 11 (Michelangelo Guggenheim)
B_417					Berlino		fonte archivistica	Musei Statali di Berlino	Archivio Centrale	Nachlass Bode 2252
B_418					Roma		fonte archivistica	Archivio Centrale dello Stato	Fondo Ministero dell’Interno	Direzione Generale della Pubblica Sicurezza, Divisione Polizia Politica, Loewi Adolfo
B_419					Venezia		fonte archivistica	Direzione regionale Musei nazionali Veneto	Archivio Storico	Cà d’Oro-Doni, lasciti, inventari, catalogo, b. 19/1; Gallerie dell’Accademia, b. 1/4
B_420					Berlino		fonte archivistica	Ministero degli Esteri	Archivio Politico	
B_421					Katonah (NY)		fonte archivistica	The Rosen House at Caramoor	Archivio storico	
B_422					Los Angeles (CA)		fonte archivistica	Los Angeles County Museum of Art-LACMA	Archivio Storico	
B_423					Bologna		fonte archivistica	Archivo Storico della Camera di Commercio di Bologna	"Fascicolo ""Molena"""	
B_424					Bologna		fonte archivistica	Archivo Storico della Camera di Commercio di Bologna	"Fascicolo ""Pini"""	
B_425					Bologna		fonte archivistica	Archivo Storico della Camera di Commercio di Bologna	"Fascicolo ""Rambaldi"""	
B_426					Roma		fonte archivistica	Museo di Scultura Antica Giovanni Barracco	Archivio Pollak	
B_427					Roma		fonte archivistica	Archivio Storico Capitolino	Sezione Diplomatica Miscellanea, I,1; Fondo Ripartizione X Antichità e Belle Arti	
B_428					Roma		fonte archivistica	Museo di Roma–Sovrintendenza Capitolina ai beni culturali	Cartella «Dono Süssmann Nicod»	
B_429					Roma		fonte archivistica	Archivio Centrale dello Stato	Fondo Ministero della Pubblica Istruzione, Direzione Generale Antichità e Belle Arti	Divisione I (1915), Divisione I (1920-1924), Divisione II, 1934-1940, Divisione III, Musei, gallerie, ICR, Gab. nazionale delle stampe, mostre, esportazioni, acquisti, notifiche, catalogo, 1929-1960; Fondo esportazione, Roma (1887–1904); Serie Scavi; musei, gallerie, oggetti d’arte, esportazioni, monumenti; Ministero dell’Interno, Gabinetto, Archivio generale, Fascicoli correnti (da giugno 1944); Ministero dell’Interno, Direzione Generale della Pubblica Sicurezza, Polizia Politica, fasc. personali 1926-1944, Pollak Ludwig
B_430					Roma		fonte archivistica	Biblioteca Angelica	Fondo Barnabei	
B_431					Roma		fonte archivistica	Bibliotheca Hertziana	Fototeca	
B_432					Roma		fonte archivistica	ASCER-Archivio Storico della Comunità Ebraica di Roma «Giancarlo Spizzichino»	Anagrafe	
B_433					Roma		fonte archivistica	UCEI-Unione delle Comunità Ebraiche Italiane, Biblioteca Nazionale dell’Ebraismo Italiano «Tullia Zevi»	Fondo CRDE-Comitato Ricerche Deportati Ebrei	
B_434					Roma		fonte archivistica	Ministero degli Affari Esteri e della Cooperazione Internazionale	Archivio Storico Diplomatico	Fondo Affari politici 1931-46
B_435					Roma		fonte archivistica	Archivio Simonetti	Research Collections	John Marshall Archive; Eugénie Sellers Strong Papers
B_436					Roma		fonte archivistica	British School at Rome		
B_437					Roma		fonte archivistica	Deutsches Archäologisches Institut-Rom	Fondo D-DAI-ROM-A-A-III-NL-Hülsen	
B_438					Città del Vaticano		fonte archivistica	Archivio Storico dei Musei Vaticani	Carte del personale dirigente dei Musei, Carte Nogara	
B_439					Bologna		fonte archivistica	Fondazione Federico Zeri	Fototeca	
B_440					Catania		fonte archivistica	Museo civico Castello Ursino	Archivio storico	
B_441					Ravenna		fonte archivistica	Biblioteca Classense	Fondo Corrado Ricci	
B_442					Milano		fonte archivistica	Istituto Lombardo Accademia di Scienze e Lettere	Fondo Bartolomeo Nogara	
B_443					Venezia		fonte archivistica	Direzione regionale Musei nazionali Veneto	Archivio Storico	Regio Ufficio di Esportazione oggetti d’arte-Venezia
B_444					Bad Arolsen		fonte archivistica	Arolsen Archives-International Center on Nazi Persecution	Correspondence file T/D–1044025	
B_445					Berlino		fonte archivistica	Musei Statali di Berlino	Archivio Centrale	Königliches Museen Acta
B_446					Berlino		fonte archivistica	Max-Planck-Gesellschaft zur Förderung der Wissenschaften	Archivio	I. Abt. Rep. 7
B_447					Berlino		fonte archivistica	Musei Statali di Berlino	Archivio Centrale	Nachlass Bode 4215; Nachlass Bode 6437; Va 9871, Charles R. Morley
B_448					Dublino		fonte archivistica	National Gallery of Ireland	Sir Denis Mahon Library & Archive	IE NGI–DM–1–2–3–2–1–6–18
B_449					Oxford		fonte archivistica	Ashmolean Museum of Art and Archaeology	MMA 10.231.1	
B_450					Parigi		fonte archivistica	Fondation Custodia–Collection Frits Lugt		
B_451					Cambridge (MA)		fonte archivistica	Harvard University	Harvard Art Museum Archives	Edward Waldo Forbes Papers (HC 2)
B_452					Durham (NC)		fonte archivistica	Duke University	Rubenstein Library	Willard Bayer Golovin Papers
B_453					Los Angeles (CA)		fonte archivistica	The Getty Research Institute	Research Libraries, Archives and Special Collections	Colnaghi records, 1894-1959; P. & D. Colnaghi & Co. letters received, 1802-1851; David Roberts Correspondence, 1837-1864; Photographs of European drawings sold at Colnaghi’s
B_454					Washington (DC)		fonte archivistica	National Gallery of Art	Image Collection: Colnaghi: Adrian Eeles Archive; John R. Freeman & Co. Archive	
B_455					New York (NY)		fonte archivistica	The Metropolitan Museum of Art	Samuel Putnam Avery Diaries, 1871-1882	
B_456					New York (NY)		fonte archivistica	Pierpont Morgan Library Archives	Morgan Collections Correspondence, 1887-1948; Reference Collection-Auction & Dealer Catalogs; Literary and Historical Manuscripts (LHMS);	
B_457					New York (NY)		fonte archivistica	The Frick Collection and Frick Art Research Library	Rosenberg & Stiebel Archive - Subject Files;	
B_458					New York (NY)		fonte archivistica	New York Public Library	Paul Colnaghi manuscript material: 1 item, 1818	
B_459					Cleveland (OH)		fonte archivistica	The Cleveland Museum of Art	Records of the Director's Office: Frederic Allen Whiting, 1913-1930	
B_460					Roma		fonte archivistica	Archivio Centrale dello Stato	Archivio Generale	"Fondo Consulta Araldica, fascc. - nobiliari e araldici delle singole famiglie, b. 1059, fasc. 6256 ""Salvadori, Antonio"""
B_461					Venezia		fonte archivistica	Direzione regionale Musei nazionali Veneto	Archivio Storico	Gallerie dell'Accademia, b. 1/2 ‹‹Offerte e acquisti dal 1901 al 1907››, fascc. 1, 22; b 1/3 ‹‹Offerte e acquisti dal 1908 al 1911››, fascc. 32, 42/2, s.n.; b. ¼ ‹‹Offerte e acquisti dal 1912 al 1922››, fasc.11;
B_462					Berlino		fonte archivistica	Musei Statali di Berlino	Archivio Centrale	Nachlass Bode 4704
B_463					Bergamo		fonte archivistica	Accademia Carrara	Archivio Steffanoni	
B_464					Venezia		fonte archivistica	Direzione regionale Musei nazionali Veneto	Archivio Storico	Gallerie dell'Accademia, b 1/3 ‹‹Offerte e acquisti dal 1908 al 1911››, fasc. ‹‹Affreschi di Villa Diedo a Zianigo››;
B_465					Berlino		fonte archivistica	Musei Statali di Berlino	Archivio Centrale	Nachlass Bode 5270
B_467					Roma		fonte archivistica	Archivio Centrale dello Stato	Fondo Ministero dell’Interno, Gabinetto, Archivio generale	Direzione Generale della Pubblica Sicurezza, Polizia Politica, fasc. personali 1926-1944, Pollak Ludwig
B_468					Roma		fonte archivistica	Archivio Centrale dello Stato	Ministero della Pubblica Istruzione, Direzione Generale Antichità e Belle Arti	"Divisione seconda (già Divisione prima)/Scavi; musei, gallerie, oggetti d'arte, esportazioni; monumenti/1908-1912 (Divisione prima)/ ""Venezia. Acquisto di una vera da pozzo, già nel palazzo Sarasco di Ferrara, di proprietà dell’antiquario Salvadori (1910-1911)"""
