ID	Nome	Cognome / Denominazione	Tipologia	ID Antiquari	Nome Antiquari
C_128	Miklós 	Boskovits	storico dell'arte	LO_I	Longari
C_129	Enzo	Carli	storico dell'arte	LO_I	Longari
C_130	Giovanni	Previtali	storico dell'arte	LO_I	Longari
C_130	Bert	Meyer	storico dell'arte	CA_V	Caretto
C_131	Luigi	Scagliotti	antiquario	CA_V	Caretto
C_132	Gustavo Adolfo	Rol	antiquario	CA_V	Caretto
C_133	Carlo	Volpe	storico dell'arte	CO_V	Cortinovis
C_134	Dwight	Millet	storico dell'arte	CO_V	Cortinovis
C_135	Denis	Mahon	storico dell'arte	CO_V	Cortinovis
C_136		Fototecnica Bolognese	fotografo	CO_V	Cortinovis
C_137		A. Villani e Figli	fotografo	CO_V	Cortinovis
C_138	Tammaro 	De Marinis	antiquario	FO_I	Forti
C_139	Francesco	Monotti	storico dell'arte	PA_III	Studio d'Arte Palma
C_140	Manlio	Goffi	antiquario	PA_III	Studio d'Arte Palma
C_141	Giò	Ponti	designer	PA_III	Studio d'Arte Palma
C_142	Bruno	Zevi	storico dell'arte	PA_III	Studio d'Arte Palma
C_143	Carlo Francesco	Fornasini	collaboratore	PI_NEW	Pini
C_144	Giuseppe	Simoni	intagliatore	RA_NEW	Rambaldi
C_145	Augusto	Pagliarini	restauratore e pittore	RA_NEW	Rambaldi
C_146	Giuseppe	Alberani	falegname	RA_NEW	Rambaldi
C_147	Daniele	Ferné	collaboratore	RA_NEW	Rambaldi
C_148	Giuseppe	Cantelli	storico dell'arte	PR	Pratesi
C_149	Andrea	Bacchi	storico dell'arte	PR	Pratesi
C_150	Maria Cecilia	Fabbri	storica dell'arte	PR	Pratesi
C_151	Sandro	Bellesi	storica dell'arte	PR	Pratesi
C_152	Massino	Listri	fotografo	PR	Pratesi
