ID	Nome	Bio	Link Zeri	Bibliografia	Collaboratori	Eventi	Foto preview	Foto gallery
JA	Jandolo	JA_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Jandolo	B_140 B_65 B_66 B_14 B_111 B_119_2 B_89 B_33 B_10 B_40		E_19 E_8	JA_preview	JA_img1 JA_img2 JA_img3 JA_img4
JA-TA	Jandolo-Tavazzi	JA-TA_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Asta+Jandolo+e+Tavazzi  			E_9 E_8 E_10	JA-TA_preview	JA-TA_img1
LA_I	Lapicirella	LA_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=lapiccirella	B_11 B_61 B_71 B_230	C_59		LA_I_preview	LA_I_img1 LA_I_img2 LA_I_img3
LA_II	Lazzaroni	LA_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=lazzaroni	B_120 B_121 B_76 B_77 B_127 B_172	C_10_1 C_10_2 C_10_3		LA_II_preview	LA_II_img1
MO	Moratilla	MO_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=moratilla	B_20	C_68		MO_preview
NI	Nigro	NI_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=nigro	B_11 B_16	C_46		NI_preview	NI_img1 NI_img2
OR	Orselli	OR_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=r.+orselli	B_11 B_199			OR_preview	OR_img1
PA_I	Pagano	PA_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=P.+Pagano	B_119 B_225		E_25	PA_I_preview
PA_II	Paolini	PA_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=P.%20Paolini&page=1	B_113 B_208	C_2	E_13	PA_II_preview
PI	Pini	PI_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=pini	B_196 B_74			PI_preview	PI_img1 PI_img2
PO_I	Podio	PO_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=P.+Podio	B_141			PO_I_preview	PO_I_img1 PO_I_img2 PO_I_img3 PO_I_img4 PO_I_img5 PO_I_img6
PO_II	Pospisil	PO_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=100&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Pospisil	B_15_2	C_36 C_45 C_46		PO_II_preview
RA	Rambaldi	RA_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=A.+Rambaldi	B_14 B_141 B_179			RA_preview	RA_img1
RO	Romano	RO_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Romano 	B_131 B_75 B_108 B_109 B_204 B_8 B_11 B_14 B_217	C_66 C_7	E_20	RO_preview	RO_img1 RO_img2 RO_img3 RO_img4
RU	Rubinacci	RU_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=P.+Rubinacci	B_119 B_60_2 B_225	C_17 C_52	E_25	RU_preview	RU_img1 RU_img2 RU_img3
SA_I	Salocchi	SA_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=SALOCCHI	B_11 B_1 B_98 B_156	C_33		SA_I_preview	SA_I_img1 SA_I_img2
SA_II	Salvadori	SA_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Salvadori	B_137 B_14 B_8 B_21	C_55		SA_II_preview	SA_II_img1 SA_II_img2
SA_III	Sambon	SA_III_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=sambon	B_15 B_68 B_94			SA_III_preview	SA_III_img1
